id,sentence,origin
000054,一往情深深几许？深山夕照深秋雨。                                            ,出自清朝纳兰性德的《蝶恋花·出塞》                                                                                   
000055,二十四桥明月夜，玉人何处教吹箫                                             ,出自唐朝杜牧的《寄扬州韩绰判官》                                                                                    
000056,溪云初起日沉阁，山雨欲来风满楼                                             ,出自唐朝许浑的《咸阳城东楼/咸阳城西楼晚眺》                                                                              
000057,感君缠绵意，系在红罗襦                                                 ,出自唐朝张籍的《节妇吟·寄东平李司空师道》                                                                               
000058,七夕今宵看碧霄，牵牛织女渡河桥                                             ,出自唐朝林杰的《乞巧》                                                                                         
000059,蜀江水碧蜀山青，圣主朝朝暮暮情                                             ,出自唐朝白居易的《长恨歌》                                                                                       
000060,似此星辰非昨夜，为谁风露立中宵                                             ,出自清朝黄景仁的《绮怀十六首·其十五》                                                                                 
000061,醉翁之意不在酒，在乎山水之间也                                             ,出自宋朝欧阳修的《瑞鹤仙·环滁皆山也》                                                                                 
000062,竹外桃花三两枝，春江水暖鸭先知                                             ,出自宋朝苏轼的《惠崇春江晚景二首/惠崇春江晓景二首》                                                                          
000063,落霞与孤鹜齐飞，秋水共长天一色                                             ,出自唐朝王勃的《滕王阁序》                                                                                       
000064,日色欲尽花含烟，月明欲素愁不眠                                             ,出自唐朝李白的《长相思·其二》                                                                                     
000065,会当凌绝顶，一览众山小                                                 ,出自唐朝杜甫的《望岳》                                                                                         
000066,青山绿水，白草红叶黄花                                                 ,出自元朝白朴的《天净沙·秋》                                                                                      
000067,时光只解催人老，不信多情，长恨离亭，泪滴春衫酒易醒                                   ,出自宋朝晏殊的《采桑子·时光只解催人老》                                                                                
000068,力拔山兮气盖世时不利兮骓不逝                                              ,出自汉朝项羽的《垓下歌》                                                                                        
000069,风萧萧兮易水寒，壮士一去兮不复还                                            ,出自宋朝佚名的《荆轲歌/渡易水歌》                                                                                   
000070,春草明年绿，王孙归不归                                                 ,出自的《》                                                                                               
000071,朝看水东流，暮看日西坠                                                 ,出自明朝钱福的《明日歌》                                                                                        
000072,行到水穷处，坐看云起时                                                 ,出自唐朝王维的《终南别业》                                                                                       
000073,黄沙百战穿金甲，不破楼兰终不还                                             ,出自唐朝王昌龄的《从军行七首·其四》                                                                                  
000074,世间行乐亦如此，古来万事东流水                                             ,出自唐朝李白的《梦游天姥吟留别/梦游天姥山别东鲁诸公》                                                                         
000075,少年易老学难成，一寸光阴不可轻                                             ,出自宋朝朱熹的《劝学诗/偶成》                                                                                     
000076,春风得意马蹄疾，一日看尽长安花                                             ,出自唐朝孟郊的《登科后》                                                                                        
000077,欲把相思说似谁，浅情人不知                                               ,出自宋朝晏几道的《长相思·长相思》                                                                                   
000078,凤凰台上凤凰游，凤去台空江自流                                             ,出自唐朝李白的《登金陵凤凰台》                                                                                     
000079,好雨知时节，当春乃发生                                                 ,出自唐朝杜甫的《春夜喜雨》                                                                                       
000080,大江东去，浪淘尽，千古风流人物                                             ,出自宋朝苏轼的《念奴娇·赤壁怀古》                                                                                   
000081,两个黄鹂鸣翠柳，一行白鹭上青天                                             ,出自唐朝杜甫的《江畔独步寻花七绝句》                                                                                  
000082,海内存知己，天涯若比邻                                                 ,出自唐朝王勃的《送杜少府之任蜀州/送杜少府之任蜀川》                                                                          
000083,少年不识愁滋味，爱上层楼爱上层楼为赋新词强说愁                                     ,出自宋朝辛弃疾的《丑奴儿·书博山道中壁》                                                                                
000084,少小离家老大回，乡音无改鬓毛衰                                             ,出自唐朝贺知章的《回乡偶书》                                                                                      
000085,水急客舟疾，山花拂面香                                                 ,出自唐朝李白的《秋浦歌十七首》                                                                                     
000086,秦时明月汉时关，万里长征人未还                                             ,出自唐朝王昌龄的《出塞》                                                                                        
000087,男儿何不带吴钩，收取关山五十州                                             ,出自唐朝李贺的《南园十三首·其五》                                                                                   
000088,白日放歌须纵酒，青春作伴好还乡                                             ,出自唐朝杜甫的《闻官军收河南河北》                                                                                   
000089,桃花潭水深千尺，不及汪伦送我情                                             ,出自唐朝李白的《赠汪伦》                                                                                        
000090,问世间，情为何物，直教生死相许                                             ,出自元朝元好问的《摸鱼儿·雁丘词/迈陂塘·雁丘词》                                                                           
000091,青山依旧在，几度夕阳红                                                 ,出自明朝杨慎的《临江仙·滚滚长江东逝水》                                                                                
000092,天长地久有时尽，此恨绵绵无绝期                                             ,出自唐朝白居易的《长恨歌》                                                                                       
000093,采菊东篱下，悠然见南山                                                 ,出自魏晋陶渊明的《饮酒·其五》                                                                                     
000094,无情不似多情苦一寸还成千万缕                                              ,出自宋朝晏殊的《玉楼春·春恨》                                                                                     
000095,咬定青山不放松，立根原在破岩中                                             ,出自清朝郑燮的《竹石》                                                                                         
000096,谁料同心结不成，翻就相思结                                               ,出自明朝夏完淳的《卜算子·秋色到空闺》                                                                                 
000097,千锤万凿出深山，烈火焚烧若等闲                                             ,出自的《》                                                                                               
000098,情人怨遥夜，竟夕起相思                                                 ,出自唐朝张九龄的《望月怀远/望月怀古》                                                                                 
000099,风烟俱净，天山共色                                                   ,出自南北朝吴均的《与朱元思书》                                                                                     
000100,不识庐山真面目，只缘身在此山中                                             ,出自宋朝苏轼的《题西林壁》                                                                                       
000101,东风夜放花千树更吹落、星如雨                                              ,出自宋朝辛弃疾的《青玉案·元夕》                                                                                    
000102,离离原上草，一岁一枯荣                                                 ,出自唐朝白居易的《草/赋得古原草送别》                                                                                 
000103,谁道人生无再少门前流水尚能西休将白发唱黄鸡                                       ,出自宋朝苏轼的《浣溪沙·游蕲水清泉寺》                                                                                 
000104,墙角数枝梅，凌寒独自开                                                 ,出自宋朝王安石的《梅花》                                                                                        
000105,欲穷千里目，更上一层楼                                                 ,出自唐朝王之涣的《登鹳雀楼》                                                                                      
000106,春江潮水连海平，海上明月共潮生                                             ,出自唐朝张若虚的《春江花月夜》                                                                                     
000107,河海不择细流，故能就其深；                                               ,出自宋朝李斯的《谏逐客书》                                                                                       
000108,小娃撑小艇，偷采白莲回                                                 ,出自唐朝白居易的《池上》                                                                                        
000109,大漠沙如雪，燕山月似钩                                                 ,出自唐朝李贺的《马诗》                                                                                         
000110,千古兴亡多少事悠悠不尽长江滚滚流                                            ,出自宋朝辛弃疾的《南乡子·登京口北固亭有怀》                                                                              
000111,人间四月芳菲尽，山寺桃花始盛开                                             ,出自唐朝白居易的《大林寺桃花》                                                                                     
000112,盈盈一水间，脉脉不得语                                                 ,出自汉朝佚名的《迢迢牵牛星》                                                                                      
000113,朝辞白帝彩云间，千里江陵一日还                                             ,出自唐朝李白的《早发白帝城/白帝下江陵》                                                                                
000114,敕勒川，阴山下天似穹庐，笼盖四野                                            ,出自佚名的《敕勒歌》                                                                                          
000115,射人先射马，擒贼先擒王                                                 ,出自唐朝杜甫的《前出塞九首·其六》                                                                                   
000116,去年今日此门中，人面桃花相映红                                             ,出自唐朝崔护的《题都城南庄》                                                                                      
000117,水晶帘动微风起，满架蔷薇一院香                                             ,出自唐朝高骈的《山亭夏日》                                                                                       
000118,云中谁寄锦书来，雁字回时，月满西楼                                           ,出自宋朝李清照的《一剪梅·红藕香残玉簟秋》                                                                               
000119,天平山上白云泉，云自无心水自闲                                             ,出自唐朝白居易的《白云泉》                                                                                       
000120,欲渡黄河冰塞川，将登太行雪满山                                             ,出自唐朝李白的《行路难·其一》                                                                                     
000121,明月几时有把酒问青天                                                  ,出自宋朝苏轼的《水调歌头·明月几时有》                                                                                 
000122,蝉噪林逾静，鸟鸣山更幽                                                 ,出自南北朝王籍的《入若耶溪》                                                                                      
000123,水光潋滟晴方好，山色空蒙雨亦奇                                             ,出自宋朝苏轼的《饮湖上初晴后雨》                                                                                    
000124,明月松间照，清泉石上流                                                 ,出自唐朝王维的《山居秋暝》                                                                                       
000125,以色事他人，能得几时好                                                 ,出自唐朝李白的《妾薄命》                                                                                        
000126,黑云翻墨未遮山，白雨跳珠乱入船                                             ,出自宋朝苏轼的《六月二十七日望湖楼醉书》                                                                                
000127,红酥手，黄縢酒，满城春色宫墙柳                                             ,出自宋朝陆游的《钗头凤·红酥手》                                                                                    
000128,若言琴上有琴声，放在匣中何不鸣                                             ,出自宋朝苏轼的《琴诗》                                                                                         
000129,西塞山前白鹭飞，桃花流水鳜鱼肥                                             ,出自唐朝张志和的《渔歌子·西塞山前白鹭飞》                                                                               
000130,万壑树参天，千山响杜鹃                                                 ,出自唐朝王维的《送梓州李使君》                                                                                     
000131,劝君更尽一杯酒，西出阳关无故人                                             ,出自唐朝王维的《送元二使安西》                                                                                     
000132,伯牙鼓琴，志在高山                                                   ,出自先秦佚名的《伯牙鼓琴/伯牙绝弦》                                                                                  
000133,洛阳亲友如相问，一片冰心在玉壶                                             ,出自唐朝王昌龄的《芙蓉楼送辛渐》                                                                                    
000134,世人结交须黄金，黄金不多交不深                                             ,出自唐朝张谓的《题长安壁主人》                                                                                     
000135,酒入愁肠，化作相思泪                                                  ,出自宋朝范仲淹的《苏幕遮·怀旧》                                                                                    
000136,天涯地角有穷时，只有相思无尽处                                             ,出自宋朝晏殊的《玉楼春·春恨》                                                                                     
000137,一生大笑能几回，斗酒相逢须醉倒                                             ,出自唐朝岑参的《凉州馆中与诸判官夜集》                                                                                 
000138,换我心，为你心，始知相忆深                                               ,出自唐朝顾夐的《诉衷情·永夜抛人何处去》                                                                                
000139,明月不谙离恨苦斜光到晓穿朱户                                              ,出自宋朝晏殊的《蝶恋花·槛菊愁烟兰泣露》                                                                                
000140,直道相思了无益，未妨惆怅是清狂                                             ,出自唐朝李商隐的《无题·重帏深下莫愁堂》                                                                                
000141,老来情味减，对别酒、怯流年                                               ,出自宋朝辛弃疾的《木兰花慢·滁州送范倅》                                                                                
000142,沾衣欲湿杏花雨，吹面不寒杨柳风                                             ,出自宋朝志南的《绝句·古木阴中系短篷》                                                                                 
000143,心似双丝网，中有千千结                                                 ,出自宋朝张先的《千秋岁·数声鶗鴂》                                                                                   
000144,春风又绿江南岸，明月何时照我还                                             ,出自宋朝王安石的《泊船瓜洲》                                                                                      
000145,相思了无益，悔当初相见                                                 ,出自清朝朱彝尊的《忆少年·飞花时节》                                                                                  
000146,寻寻觅觅，冷冷清清，凄凄惨惨戚戚                                            ,出自宋朝李清照的《声声慢·寻寻觅觅》                                                                                  
000147,晨起动征铎，客行悲故乡                                                 ,出自唐朝温庭筠的《商山早行》                                                                                      
000148,欲把西湖比西子，淡妆浓抹总相宜                                             ,出自宋朝苏轼的《饮湖上初晴后雨》                                                                                    
000149,衰兰送客咸阳道天若有情天亦老                                              ,出自宋朝贺铸的《行路难·缚虎手》                                                                                    
000150,停车坐爱枫林晚，霜叶红于二月花                                             ,出自唐朝杜牧的《山行》                                                                                         
000151,生当复来归，死当长相思                                                 ,出自当代佚名的《留别妻》                                                                                        
000152,忽见陌头杨柳色，悔教夫婿觅封侯                                             ,出自唐朝王昌龄的《闺怨》                                                                                        
000153,夜阑卧听风吹雨，铁马冰河入梦来                                             ,出自的《》                                                                                               
000154,浮云一别后，流水十年间                                                 ,出自唐朝韦应物的《淮上喜会梁川故人/淮上喜会梁州故人》                                                                         
000155,死去元知万事空，但悲不见九州同                                             ,出自宋朝陆游的《示儿》                                                                                         
000156,相恨不如潮有信，相思始觉海非深                                             ,出自唐朝白居易的《浪淘沙·借问江潮与海水》                                                                               
000157,独自莫凭栏，无限江山，别时容易见时难                                          ,出自唐朝李煜的《浪淘沙令·帘外雨潺潺》                                                                                 
000158,无情最是台城柳，依旧烟笼十里堤                                             ,出自唐朝韦庄的《台城》                                                                                         
000159,窈窕淑女，君子好逑                                                   ,出自先秦诗经的《关雎》                                                                                         
000160,风一更，雪一更，聒碎乡心梦不成，故园无此声                                       ,出自清朝纳兰性德的《长相思》                                                                                      
000161,昨夜西风凋碧树独上高楼，望尽天涯路                                           ,出自宋朝晏殊的《蝶恋花·槛菊愁烟兰泣露》                                                                                
000162,满目山河空念远，落花风雨更伤春                                             ,出自宋朝晏殊的《浣溪沙·一向年光有限身》                                                                                
000163,一寸柔肠情几许薄衾孤枕，梦回人静，彻晓潇潇雨                                      ,出自宋朝惠洪的《青玉案·丝槐烟柳长亭路》                                                                                
000164,万事到头都是梦，休休明日黄花蝶也愁                                           ,出自宋朝苏轼的《南乡子·重九涵辉楼呈徐君猷》                                                                              
000165,别君去兮何时还？且放白鹿青崖间。须行即骑访名山。                                    ,出自唐朝李白的《梦游天姥吟留别/梦游天姥山别东鲁诸公》                                                                         
000166,小荷才露尖尖角，早有蜻蜓立上头                                             ,出自宋朝杨万里的《小池》                                                                                        
000167,一日不见兮，思之如狂                                                  ,出自汉朝司马相如的《凤求凰》                                                                                      
000168,招魂楚些何嗟及，山鬼暗啼风雨                                              ,出自元朝元好问的《摸鱼儿·雁丘词/迈陂塘·雁丘词》                                                                           
000169,黄鹤一去不复返，白云千载空悠悠                                             ,出自唐朝崔颢的《黄鹤楼》                                                                                        
000170,当君怀归日，是妾断肠时                                                 ,出自唐朝李白的《春思》                                                                                         
000171,支离东北风尘际，漂泊西南天地间                                             ,出自唐朝杜甫的《咏怀古迹五首·其一》                                                                                  
000172,世事漫随流水，算来一梦浮生                                               ,出自唐朝李煜的《乌夜啼·昨夜风兼雨》                                                                                  
000173,思君如流水，何有穷已时                                                 ,出自魏晋徐干的《室思》                                                                                         
000174,悲莫悲生离别，乐莫乐新相识，儿女古今情                                         ,出自宋朝辛弃疾的《水调歌头·壬子三山被召陈端仁给事饮饯席上作》                                                                     
000175,半生已分孤眠过，山枕檀痕涴                                               ,出自清朝纳兰性德的《虞美人·曲阑深处重相见》                                                                              
000176,落花人独立，微雨燕双飞                                                 ,出自宋朝晏几道的《临江仙·梦后楼台高锁》                                                                                
000177,自是人生长恨，水长东                                                  ,出自唐朝李煜的《相见欢·林花谢了春红》                                                                                 
000178,飞流直下三千尺，疑是银河落九天                                             ,出自唐朝李白的《望庐山瀑布》                                                                                      
000179,思君如陇水，长闻呜咽声                                                 ,出自唐朝雍裕之的《自君之出矣》                                                                                     
000180,胜日寻芳泗水滨，无边光景一时新                                             ,出自宋朝朱熹的《春日》                                                                                         
000181,仍怜故乡水，万里送行舟                                                 ,出自唐朝李白的《渡荆门送别》                                                                                      
000182,万里赴戎机，关山度若飞                                                 ,出自南北朝佚名的《木兰诗/木兰辞》                                                                                   
000183,人生如逆旅，我亦是行人                                                 ,出自宋朝苏轼的《临江仙·送钱穆父》                                                                                   
000184,泉眼无声惜细流，树阴照水爱晴柔                                             ,出自宋朝杨万里的《小池》                                                                                        
000185,桃之夭夭，灼灼其华                                                   ,出自先秦诗经的《桃夭》                                                                                         
000186,相看两不厌，只有敬亭山                                                 ,出自唐朝李白的《独坐敬亭山》                                                                                      
000187,柳如眉，云似发，鲛绡雾縠笼香雪                                             ,出自宋朝魏承班的《渔歌子·柳如眉》                                                                                   
000188,流水落花春去也，天上人间                                                ,出自唐朝李煜的《浪淘沙令·帘外雨潺潺》                                                                                 
000189,鱼书经岁绝，烛泪流残月                                                 ,出自清朝徐灿的《菩萨蛮·秋闺》                                                                                     
000190,山不厌高，海不厌深                                                   ,出自魏晋曹操的《短歌行》                                                                                        
000191,把酒祝东风且共从容                                                   ,出自宋朝欧阳修的《浪淘沙·把酒祝东风》                                                                                 
000192,冰，水为之，而寒于水                                                  ,出自宋朝荀子的《劝学》                                                                                         
000193,惊塞雁，起城乌，画屏金鹧鸪                                               ,出自唐朝温庭筠的《更漏子·柳丝长》                                                                                   
000194,但使龙城飞将在，不教胡马度阴山                                             ,出自唐朝王昌龄的《出塞》                                                                                        
000195,月下飞天镜，云生结海楼                                                 ,出自唐朝李白的《渡荆门送别》                                                                                      
000196,疏影横斜水清浅，暗香浮动月黄昏                                             ,出自宋朝林逋的《山园小梅二首》                                                                                     
000197,寸寸微云，丝丝残照，有无明灭难消                                            ,出自清朝贺双卿的《凤凰台上忆吹箫·寸寸微云》                                                                              
